"review_title","review_text","review_star","date","author","page"
"Excellent","This is my first time buying a Firestick and I'm glad I purchased it. It was pretty easy to set up and the picture quality is great on my hd tv ( I don't have a 4K model). Lots of content it will take me some time to explore all of it. The only minor problem I had was initially getting the battery compartment open on the remote. I had to google to find out the proper way to open it. After that it was smooth sailing getting it set up. I would highly recommend this new Firestick it works great. You don't need a 4K tv to operate this stick all you need is a tv with hdmi ports. Give it a try you'll like it!","5.0 out of 5 stars","Reviewed in the United States on October 24, 2021","Dee K.",2
"Failure!","I've been using Fire Sticks for years. Each new generation seems to become a piece of junk in days. I've had this new one for a few days, got all my activation's set up (again). Now I have to unplug and restart this stupid stick 8-10 times a day, very frustrating. Every other time I try to return to home screen all I get is black screen, plus half the time the mute function does work without restarting stick. Fire stick is a great name, I what to throw it in the BBQ.","1.0 out of 5 stars","Reviewed in the United States on November 9, 2021","vinonick",2
"Product doesn't match photos","The media could not be loaded.
 Update: I've been sold a dud. Can't get past the initial fire tv logo. Goes to a blank screen and nothing happens (see attached video). For reference my older FireTV is connected to the same TV without issue. I've tried this new FireTV in the same HDMI port and on the ports of other TVs and still nada. Also tried solutions via Google. Wasted money as I'm not in the US anymore. One star.

I ordered the fire tv stick 4k due to the photos indicating that the remote came with buttons for Netflix, Disney+, etc. However as seen from my photo, it's just the normal remote. For that I'm giving it 2 stars for the deception.","1.0 out of 5 stars","Reviewed in the United States on December 13, 2021","Fox",2
"Hey, It's a Firestick - None Better","This is the third Firestick I have bought and I love them all - I wanted one in the living room and bedroom because air TV is terrible in my area. Also take one on my travel trailer. They only need a TV with an HDMI slot, a nearby electric plug (some work on USB) and a decent WiFi signal. If you can't get WiFi, the Firestick is not for you. It opens up a world of possibilities for what to watch. Works well with Amazon Prime, Hulu, YouTube TV, and many other subscription carriers for much less than satellite or cable. Installation is easy and working the remote is simple.","5.0 out of 5 stars","Reviewed in the United States on October 29, 2021","Ben Henry",2
"Poor performance after upgrades","When the firesticks are first released they work fairly well, than the system updates come which eat away at the performance until the stick is almost useless because of how slow the interface is to respond. Amazon has now made it impossible to downgrade the Firesticks to previous versions by adding eFuses to the circuitry, so you can't even flash back to a previous version. My firestick after the last update now struggles to even run Pandora, and forget about it running Plex or anything that will take up more resources like that. I feel like the Firesticks are put out there to get you to eventually buy the Fire Cubes which have far better performance.","1.0 out of 5 stars","Reviewed in the United States on November 2, 2021","Paul A. White",2
"Horrendous ad spam","Use for 32"" bedroom TV. Most Often Giant ad for some bad show on some poor streaming service takes 40% of the screen. Your aps are VERY tiny below that. Then ANOTHER ad about subbing to a service you don't want or in my case here, already have. Every update to the software just seems to be a way to squeeze more advertisements in. It's pretty darn terrible compared to my Android TV.","2.0 out of 5 stars","Reviewed in the United States on November 8, 2021","ThinkGeek",2
"Not worth it.","Takes a long to load videos (specially form YouTube) and you get commercials on top of Hulu's commercials. No thanks.","1.0 out of 5 stars","Reviewed in the United States on October 23, 2021","Aarzak",2
"Why the ads?","The product is great for streaming movies on Netflix etc. It is also reasonably priced. Further, I like the fact that I can use the fire stick remote to turn on my TV.The only downside is that the fire tv home screen displays advertisement. Why would Amazon do this? I bought this stick so I won't have to see ads on TV, but here we are...","2.0 out of 5 stars","Reviewed in the United States on November 17, 2021","Papa Koulikov",2
"Fire Stick enlazado con Ring","The media could not be loaded.
 La instalación fue muy sencilla, pero lo que más me agrado fue que logré configurar el Fire Stick para que se viera en la TV con un comando de voz con Alexa. Adicional pude instalar la aplicación IPTV para ver películas por internet. Es genial se los recomiendo.","5.0 out of 5 stars","Reviewed in the United States on November 25, 2021","Danny",2
"None of the firesticks have 8gb false advertisement","The media could not be loaded.
 Now don't get me wrong love the firestick great device issue is storage and the way its advertised this device should have 8gb of storage and 1.5 memory pre installed apps and updates is gonna reduce it to 3.85 gb and that's what's left of the 5.43gb you actually have. I would appreciate if amazon gave me a device that actually has 8gb with 1.5 memory. I understand you can add external storage that's not the issue so let's make sure we stay on the issue. When you buy a phone or whatever and it's advertised as having 256gb storage when you look the it say 256gb storage. I would like amazon to do right by me now I will do a correct review on the product. Also Alexa never picks up what I say I end up typing it in. Right now Amazon has not resolved my issue. Next issue I had was connectivity every so often thi thing would disconnect and say no service I had to separate my router from auto to show 5gz and 2.4ghz and connect it to 2.4ghz directly in order for it to not have issues.","2.0 out of 5 stars","Reviewed in the United States on January 25, 2022","mr. williams",2
"Great value and price. Easy to install and use. A must have!","I dont know why I've waited all these years to get a Amazon Fire stick? I've had Amazon prime ( plus Netflix and Hulu for many years and recently added HBOMAX ).I've been using my Xbox360 and XboxOne to stream my media up untill now. It only took minutes to install and once I downloaded all my apps and logged in to my accounts and was easily accessing all my digital media. The picture quality is great, I'm using a older Samsung TV but it works with the 4K new firestick no problem. Easy to use remote controller. The sound is quieter using some of my apps compared to using my xbox but I will solve this by buying a small soundbar. I installed 5 of these on all my parents televisions and they are not tech friendly people but they love their firesticks and are using them now instead of cable TV boxes. I highly recommend this. Dont wait. It's easy to install and use and a great price and value.","5.0 out of 5 stars","Reviewed in the United States on November 15, 2021","chris",3
"Want to know how little Amazon thinks of you? Watch this AD to find out!","Ads, ads, ads, ads, ads.You're not buying a product. You ARE the product.There's no way to stop it. I went into all of the settings and attempted to purge these annoyances like I was exorcising a demon from my TV and had zero luck. Don't be fooled by the ""go into xyz setting and select no"" talk. It will still pump out ads to you at every turn.Turn on the device? Hope you like an ad.Use an app? Hope you like an ad.Press PAUSE! Here, open wide, here comes another AD.It's insulting.","1.0 out of 5 stars","Reviewed in the United States on December 22, 2021","Alex",3
"Capable Streamer. Grab one when deeply discounted","I had an older 4K firestick that appears identical to this one except for the remote. But this one is MUCH faster in terms of on screen use. Very snappy performance. Picture quality is very good too once you turn OFF the always on HDR, which will turn the picture to mud. It's on by default for some reason. Also make sure 4K is turned on (or auto) if you have a 4K set... Which presumably you do since there is no reason to buy this Fire Stick if you don't. Is it worth $50? No, but for half that price, heck yeah. And with a new 4K stick coming soon, discounts like that are probably going to be common...so cash in when you can.This probably checks every box you have. 4K. Dolby Vision. all forms of HDR, a voice remote with buttons that controls all essential TV functions (volume, channel, mute) with dedicated Netflix, Amazon, Disney+ and Hulu buttons...So if you have an older stick, and a newer 4K Dolby Vision set, going to this stick is a no brainer.The only downside is you have to download all your streaming service apps again, digging out the names and passwords of each one. A major pain. Amazon keeps track of everything else, including your wi-fi network, so not sure why it cant do this too. But it does not for some reason, despite a step in the setup process that sort of implies it does. If so, that process did not work for me.I know the new version of this stick is upgraded, supports WIFI 6 (which I have) and Atmos (which I don't) But can't see its worth twice the price of this one.","4.0 out of 5 stars","Reviewed in the United States on November 3, 2021","DaytonaDan",3
"WASTE OF MONET !!!!","DOESN'T HOOK UP TO THE INTERNET WITH-OUT PURCHASING A INTERNET SERVICE, SO THIS FIRE STICK IS UESLESS !!!!","1.0 out of 5 stars","Reviewed in the United States on October 25, 2021","Larry",3
"Unit sets up in a snap","Had a fire tv from 5 years ago and Hulu and it didn't play nice so got the stick. Installed it per the little get started sheet and it asked if the Tv was a Sony, was the sound bar a Sony, and then it installed itself. Right from the get go the remote worked the TV the stick and the sound bar all turned on or off with just the remote. It streams lots of things in 4K much to my surprise and it looks really great. It handles the sound well also. Amazon recommends hooking it to an HDMI/ARC. I hooked it to the sound bar which then runs to the TV and into an ARC HDMI port. Hulu live plays nice with it and Hulu live didn't work on the Ruko device I tried before getting the stick at half the price. I highly recommend the Stick 4K.","5.0 out of 5 stars","Reviewed in the United States on November 11, 2021","T.R.P.C.",3
"Worth every penny, but buy it on one of their frequent sales.","I have 2 of these now, so I don't have to deal with my kid swiping the one from our living room TV. My 60"" Sony is a first generation LED, and has a few smart features, but no streaming services, etc. So the Firestick, with all of its features, suited my needs perfectly. I picked up the 4k on sale, cheaper than the standard one was the first time around. Second time around, it was about the same price, with a sale price, and some credit I had from something. The only issue I have had, is a remote died on the first one I had. It stopped working, except the volume controls. It was about 3-4 years old, and fairly light use. No spills or hard drops, etc. Ordered a newer replacement remote, and the swap was mostly easy. I had to power off the Firestick a few times before it would recognize the new remote. We use ours for viewing, Amazon Prime content, Disney+, Funimation, Crunchyroll, HBOMax, and there is plenty of free or semi free content to stream as well. The Alexa part of it functions as you would expect. She gets it right most of the time, and sometimes you just have to scratch your head at what it comes up with.","5.0 out of 5 stars","Reviewed in the United States on November 19, 2021","Roy A",3
"Cable where ?","The media could not be loaded.
 Love my fire stick ! I plug it into the back of my tv and watch whatever I want. I’m currently watching a show on Hulu and the picture is beyond clear. I also got rid of my cable and stream everything. I can even watch the news if I want to.","5.0 out of 5 stars","Reviewed in the United States on November 26, 2021","Reni.Taylor",3
"HUGE Improvement","I had an original fire stick and liked it well enough. It was getting a little laggy and started spending a good amount of time buffering. I was starting to get a bit frustrated with it. So I upgraded to the 4K. I couldn't be happier. No buffering and it loads channels considerably faster. I wished I had done this a long time ago. It used my existing profile and automatically imported all the streaming channels I was watching on the 1st gen fire stick. All I had to do was re-enter my log-in credentials.The voice recognition works well enough to open various channels, but doesn't do complex requests. You cannot, for instance, tell it to go to a particular show on a particular streaming service in one command (like I can with my Sony smart TV).I've also owned Roku streaming sticks in the past and I prefer the fire stick hands down. I would definitely recommend this","5.0 out of 5 stars","Reviewed in the United States on May 29, 2022","Kevin Crandall",3
"Our prior Fire TV Stick was almost perfect, but this generation is even better.","As I’ve said before in these pages, we’ve tried Apple TV, Roku and YouTube TV and without question, Fire TV beats them all for not just a much-appreciated array of FREE programming, but for the intuitive ease with which you can explore everything they have to offer. Memo to the other guys … simply offering an abundance of content in your platform is seriously worthless if you just throw it all in there with no thoughtful organization for your customers to follow - and to return to when we want to!!! Fire TV Stick does that very well.And fyi, I just bought the new Fire TV 4K Stick and was concerned whether my older TV (10+ yo SONY) and the new Stick would communicate. They did and I’m now poised to enjoy the Stick even more when we get a new TV in a few months.Do I recommend it? I could babble-on for the next hour telling you why the answer is yes, so suffice it to say IMHO, it’s the best thing out there in its Class.","5.0 out of 5 stars","Reviewed in the United States on December 14, 2021","Prof. H",3
"Remote control is utterly useless after 6 months","The picture is GREAT! The streaming is GREAT! The apps and compatibility are GREAT!Remote is a glitchy piece of GARBAGE in just under 6 months. Amazon could CARE LESS! You start to scroll and it just takes off at an extremely accelerated pace that loses you place. I’ve spoken to friends that say the same thing happens to them.I paid for this system during Amazon Day sale $26. Now to replace their remote they want $29 and couldn’t give a damn that they’re original remote is worthless. They completely ignored my request for a replacement, until I told them I’ll just go back to my AppleTv. Then they said they’d have someone contact me. A week later and no calls. Sad to say, I’m hooking back up my 4k AppleTv.","5.0 out of 5 stars","Reviewed in the United States on June 19, 2022","The Batman",3
"An improvement over my old FireTV","So after a couple years of use, I needed to upgrade my old FireTV stick (2nd Gen). It was running out of memory for the apps. Also the stick always glitched here and there because the processor was being stretched to it's limits. So I decided to upgrade to the 4K Fire TV Stick and was getting a discount that made the cost less than $25. Had this stick now for a couple months and I am very happy!What an improvement to start! Menu flowed faster, WIFI drops were non-existent and videos didn't lock up as before. That's because the CPU was improved (from an older Quad-Core 32bit that ran 1.3 to an improved CPU that runs at 1.8Ghz) and the memory is doubled (1GB to 2 GB). Did I mention there isn't a re-learning curve as the menu system is pretty much the same?The best thing, is the process to reload the apps from the one to the other is one shot. Unlike when you get a new computer and have to reload your programs or apps one at a time manually, the Fire Stick will do it for you when you attach it to your account. The only thing it didn't remember was the previous Stick's settings.Now with all that said, I did run into a problem.... the remote wouldn't program. But I was able to use my older remote and had a chat session with customer service. 20 minutes later I had a new remote being sent (1 week) and when I got it, worked like a champ.Now I'm ready if and when I have to replace my TV to 4K :)","5.0 out of 5 stars","Reviewed in the United States on April 13, 2022","ChrisInJesup",4
"works better than the last 3 - buffers alot","Movers lost one of my previous ones. I purchased an Amazon 2 item special in 2018 and initially they worked well and then started failing to connect to Amazon Home network, which they must do first before they can function (guess all they show you is in the cloud). I wrote poor reviews on them, Amazon service was horrible, proved with a portable Roku (which I really don't like) that the internet service and TVs were not the problem.This device has very little connectivity issues and the Alexa voice on the remote works as well as before. I do like the voice and side app loading capability of the FireStick - think it's really the best device out there - if it works correctly.I have noticed in the last 30 days quite a bit of 'orange circle' streaming buffering. I've tested the TV again and also compared to a Roku TV on the same network, the network down is 526 mb (promised 500 with ATT) and the Amazon Firestick is the only device with buffering issues. Other than that, it updates automatically and regularly as promised, and worked great for many months until recently.Thinking as mentioned on a Bluetooth adapter review, that the way a Firestick works is to 'phone home' and connect up with the Amazon Cloud Firestick Home network before it does anything, I suspect that Amazon Web Service is having on-going issues and that's the cause of the buffering issue. Nothing else on my network has a buffering issue.","5.0 out of 5 stars","Reviewed in the United States on April 14, 2022","Dave in Texarkana",4
"Great Upgrade from the non 4k Stick","My 3 year old Fire Stick was driving me crazy. I had to reboot it, on average,every 2 days. The voice would often get out of sync with the picture and there were many times when it would simply pout and not perform as intended. I got a notice about the 4k stick being on sale so I checked the reviews. I saw many people happy with the 4k stick and how most of the reboots, freezing and out of sync issues were corrected. I was somewhat skeptical but knew that I could return the stick if I was not happy with it. But happy with it I am!. After several weeks of use I have had no issues at all!. Great gui, flawless streaming, voice searches...everything works well!","5.0 out of 5 stars","Reviewed in the United States on April 2, 2022","Joe. Silva",4
"I was so excited","My previous fire stick would play jeopardy on its on. Meaning I’d click the button on my app once and it would scroll mindlessly. My tv and stick were both handed down to me. Stick had a remote, but even with battery changes it just stopped working. Didn’t make sense to purchase a new remote, especially with the jeopardy scroll.Looking for the best deal, this was like $8 more than the lower version. Actually picked it up at target, same day hack with no min order for the win.Here’s the thing. I though I read everything good enough, but the buttons on the remote confused me. Yea I know I get it. Clearly + & - mean what they mean. But I was SOOOOOOO HAPPY, when I put 2&2 together and realized I now have a tv remote as well!First off. One remote will always be my preference. But to think “nawwww that’s not what it is” and it to actually be it. Man I was thrilled.Now my son can completely do everything on his own again. He’s 8, but with no remotes I had to use my phone to constantly change or click continue watching. He could handle going up to the tv and turning it up. Even better, now I don’t have to jump up in the middle of the night to turn the tv down because I forgot. Or stand and wait at the tv to see if the level is too loud, go back to the bed and check to see the level.Single mom, we share a room. This has been a very pleasant game changer!Everything works great! That I’ve used lol I’m now “becoming my parents” with technology so I’m still figuring out what the new features are.","5.0 out of 5 stars","Reviewed in the United States on March 2, 2022","Lina Valencia",4
"Surprising- Read on!","We bought the latest version of the 4K Fire TV Stick because we wore out our old one (especially the 'enter' key).We didn't expect much except getting another stick that worked fine. Instead my wife and I both noticed immediately that the picture on our TV was much better! Also it did not hang up as often with streaming. I attribute both these effects to faster and more sophisticated processors (and software) with each generation.Also there are new Apps which seem to be associated with the newest stick only. One which we use frequently is Amazon Music. That was yet another pleasant surprise.Well worth the upgrade even if you don't need to do it. And I note that the new stick is often on sale.","5.0 out of 5 stars","Reviewed in the United States on February 21, 2022","NCBreeze",4
"Old Fire Stick remote failed again 3x so Finally upgraded- WOW!","My wife was blown away with how much clearer, brighter, and vivid the picture was once we installed this 4k Unit on our at least 7 year old 42"" TV. With an Amazon Show about 3' from the TV I don't know how much I need the Alexa button on the remote but I suppose if we want to be one step closer to Orwell's 1984 sure, why not... Except, will it be the government or corporate tech giants that invades our lives?It has been proven not only if you put a frog in boiling water it will immediately jump out, but also if you put one in tepid water and slowly raise the temp they will also eventually jump out. But human beings are just being lulled into this... sure, I'll gladly sacrifice my personal space for you to know all my discussions, internet activity, where I go and for how long at each location, soon to integrate my health details and all, not to the government but voluntarily to all these various tech companies. But I digress; Overall, we are happy with this upgrade. Bring on the fact there are more IOT than heartbeats in my house now.... by a factor of 4.","5.0 out of 5 stars","Reviewed in the United States on June 14, 2022","Chris",4
"Great Addition To Any TV w/ Hi-Speed Internet","This newer version of the Fire TV Stick is faster than the 2nd Generation I have. It installed without a hitch & was up & running quickly. The addition of the 4 buttons at the bottom was a much welcome new feature. The only button of no use to me was Netflix. Thankfully, it was easily remapped & now pushing the Netflix button can launch any app I want. I chose KlowdTV. The remote is a bit slippery to hold so I'll be ordering a silicone case. It also does everything Alexa can do by talking to the remote & her response comes through the TV's audio system. For examle, you can pause the show you're watching to ask for a weather report, turn on a smart light or ask how old the actress is in the movie by just by pushing the remote's microphone button & making the request. Amazon Alexa devices also respond to commands to the Fire TV Stick after linking one or more. Pairing of the remote happened seamlessly. Pushing the power button on the remote turns on or off my Samsung TV & Yamaha receiver. I'm also using an older Samsung 50"" TV as a 2nd monitor on a PC in the basement. The FireTV remote can turn on the monitor & change the source HDMI port from PC to Fire Stick just by pushing the mic button & asking. Bottom line is that this a great device!","5.0 out of 5 stars","Reviewed in the United States on February 5, 2022","darkNEskies",4
"Makes a Smart TV a Genius TV","This might give you the same feeling you had when you saw your first plasma tv! Even if you have a Smart TV, you can take your tv back to school because this Firestick brings a whole new level of knowledge. Once you see it, you won’t go back. Think of your current Smart TV as a CD player. It has a few apps (that may or may not buffer a little). This fire stick is the new digital music player that is clearer and has a ton of new capabilities; this is just with your video watching.The remote control will control all of your Alexa devices!But my favorite is simply turning the tv on and saying, “Alexa, turn on the Goldbergs in Hulu.” It’s like I’m back in the simple times of cable when you literally turned the tv on and turned it right to the channel you wanted to watch, but now you only use your voice.","5.0 out of 5 stars","Reviewed in the United States on December 20, 2021","Nate",4
"Cut the cords. Look xfinty.","I can’t tell you how happy I am about getting rid of Xfinity. This firestick is like having a blockbuster at your home. I am over the moon. I was paying Xfinity scammers $131 for 10 channels all new slow internet. every month my bill went up. It did my heart good to cancel them today. I wish everyone knew about this they would never have cable again. And customer service 10 plus not like Xfinity you can't speak to a live person. You guess are really on top of everything. I wish you could advertise this on Tv so people would get rid of this scam artist. Get T-moile internet for $50 no contact super fast. I saved over $80 a month Thank you <U+2764><U+FE0F>","5.0 out of 5 stars","Reviewed in the United States on April 17, 2022","annette michelon",4
